"playlist_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","decade","duration_sec"
"rock",0.583,0.574,0,-9.044,1,0.0239,0.0282,2.14e-06,0.114,0.578,104.995,"1980s",263.573
"rock",0.298,0.807,7,-5.768,1,0.0887,0.0277,0.00169,0.742,0.463,142.799,"2000s",195.627
"pop",0.709,0.831,2,-6.847,0,0.0391,0.108,0.00128,0.159,0.866,104.971,"2010s",227.067
"pop",0.702,0.851,10,-5.747,0,0.0407,0.00255,5.94e-05,0.322,0.87,117.004,"2010s",243.627
"edm",0.931,0.71,0,-4.677,0,0.0553,0.139,3.28e-05,0.0803,0.821,125.043,"2010s",223.507
"edm",0.695,0.875,7,-4.112,1,0.107,0.111,0,0.23,0.655,104.058,"2010s",206.205
"latin",0.666,0.842,9,-6.513,0,0.0878,0.0775,0.0026,0.0884,0.769,119.966,"2010s",172.5
"edm",0.773,0.902,7,-3.36,0,0.0377,0.0537,0.0674,0.0685,0.667,118.977,"2010s",254.213
"rap",0.731,0.608,1,-7.723,1,0.206,0.458,0,0.0932,0.192,120.007,"2010s",176.082
"rap",0.585,0.579,10,-9.387,0,0.447,0.15,0,0.111,0.281,120.838,"2010s",185.218
"rap",0.738,0.596,2,-7.222,1,0.149,0.00416,5.08e-05,0.15,0.255,118.922,"2010s",181.577
"rap",0.526,0.62,8,-7.244,0,0.281,0.067,0.000241,0.139,0.187,112.027,"2010s",205.766
"r&b",0.79,0.607,4,-8.273,0,0.182,0.148,0.00104,0.296,0.395,120.014,"2010s",168.193
"pop",0.709,0.718,6,-3.315,0,0.0312,0.059,0,0.167,0.24,104.971,"2010s",205.82
"r&b",0.449,0.875,8,-6.172,1,0.041,0.118,0.469,0.29,0.43,140.078,"2010s",190.218
"edm",0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,"2000s",200.4
"pop",0.758,0.93,8,-3.22,0,0.0425,0.0503,0.000226,0.325,0.853,112.042,"1990s",202.107
"latin",0.375,0.556,11,-7.201,1,0.0411,0.398,0,0.0956,0.398,111.824,"2000s",271.16
"edm",0.974,0.596,8,-7.835,0,0.226,0.156,0.513,0.418,0.92,121.513,"2000s",240.813
"rap",0.893,0.604,10,-5.278,0,0.355,0.107,0,0.093,0.608,86.978,"2010s",225.639
"rap",0.707,0.641,11,-4.842,1,0.0666,0.00412,0.000184,0.338,0.538,146.066,"2010s",167.671
"rap",0.699,0.634,0,-5.625,1,0.165,0.0416,5.76e-06,0.542,0.482,78.982,"2010s",204.304
"rap",0.804,0.889,6,-5.16,0,0.28,0.162,0,0.0928,0.601,91.974,"2010s",213.913
"rap",0.664,0.796,7,-5.173,0,0.0529,0.131,0,0.13,0.547,80.011,"2010s",201.027
"rap",0.736,0.774,9,-5.799,1,0.171,0.128,0,0.515,0.46,148.069,"2010s",279.118
"rap",0.731,0.518,3,-8.423,0,0.304,0.549,0,0.149,0.503,130.081,"2010s",167.75
"rap",0.61,0.627,4,-5.707,0,0.0827,0.662,0,0.188,0.489,149.967,"2010s",208.953
"rap",0.64,0.83,1,-4.631,1,0.396,0.106,0,0.103,0.653,169.891,"2010s",184.886
"rap",0.691,0.734,1,-3.706,1,0.466,0.19,0,0.163,0.793,169.952,"2010s",175.203
"rap",0.372,0.653,8,-5.588,0,0.0625,0.0364,0.0102,0.0636,0.0395,84.15,"2010s",188.421
"rap",0.76,0.495,9,-6.725,0,0.0317,0.08,0,0.208,0.579,118.036,"2010s",218.951
"rock",0.759,0.712,9,-6.746,0,0.0366,0.416,4.05e-06,0.0775,0.942,132.988,"1980s",271.6
